filename,population_size,elite_size,mutatants_size,crossover_probability,restart_generations,restart_strategy,seed,objective_value,time_elapsed,stop_time
experiment/21-DSJC500.5.txt,100,0.2,0.10,0.70,50,1,0,23034,195.129,194.656
experiment/21-DSJC500.5.txt,100,0.2,0.10,0.70,50,1,1,23158,194.906,194.656
experiment/21-DSJC500.5.txt,100,0.2,0.10,0.70,50,1,2,23346,194.826,194.656
experiment/21-DSJC500.5.txt,100,0.2,0.10,0.70,50,1,3,23197,194.753,194.656
experiment/21-DSJC500.5.txt,100,0.2,0.10,0.70,50,1,4,23043,195.206,194.656
experiment/21-DSJC500.5.txt,100,0.2,0.10,0.70,50,1,5,23321,194.743,194.656
experiment/21-DSJC500.5.txt,100,0.2,0.10,0.70,50,1,6,23312,195.107,194.656
experiment/21-DSJC500.5.txt,100,0.2,0.10,0.70,50,1,7,23139,195.276,194.656
experiment/21-DSJC500.5.txt,100,0.2,0.10,0.70,50,1,8,23176,194.928,194.656
experiment/21-DSJC500.5.txt,100,0.2,0.10,0.70,50,1,9,23298,195.278,194.656
experiment/22-inithx.i.3.txt,100,0.2,0.10,0.70,50,1,0,3654,77.3137,77.2497
experiment/22-inithx.i.3.txt,100,0.2,0.10,0.70,50,1,1,3648,77.4627,77.2497
experiment/22-inithx.i.3.txt,100,0.2,0.10,0.70,50,1,2,3646,77.5556,77.2497
experiment/22-inithx.i.3.txt,100,0.2,0.10,0.70,50,1,3,3649,77.4546,77.2497
experiment/22-inithx.i.3.txt,100,0.2,0.10,0.70,50,1,4,3649,77.4927,77.2497
experiment/22-inithx.i.3.txt,100,0.2,0.10,0.70,50,1,5,3652,77.5872,77.2497
experiment/22-inithx.i.3.txt,100,0.2,0.10,0.70,50,1,6,3642,77.312,77.2497
experiment/22-inithx.i.3.txt,100,0.2,0.10,0.70,50,1,7,3647,77.385,77.2497
experiment/22-inithx.i.3.txt,100,0.2,0.10,0.70,50,1,8,3651,77.4347,77.2497
experiment/22-inithx.i.3.txt,100,0.2,0.10,0.70,50,1,9,3659,77.3262,77.2497
experiment/23-inithx.i.2.txt,100,0.2,0.10,0.70,50,1,0,4101,70.2849,70.1256
experiment/23-inithx.i.2.txt,100,0.2,0.10,0.70,50,1,1,4083,70.4927,70.1256
experiment/23-inithx.i.2.txt,100,0.2,0.10,0.70,50,1,2,4089,70.3986,70.1256
experiment/23-inithx.i.2.txt,100,0.2,0.10,0.70,50,1,3,4080,70.1761,70.1256
experiment/23-inithx.i.2.txt,100,0.2,0.10,0.70,50,1,4,4098,70.3415,70.1256
experiment/23-inithx.i.2.txt,100,0.2,0.10,0.70,50,1,5,4097,70.1542,70.1256
experiment/23-inithx.i.2.txt,100,0.2,0.10,0.70,50,1,6,4086,70.2466,70.1256
experiment/23-inithx.i.2.txt,100,0.2,0.10,0.70,50,1,7,4094,70.2806,70.1256
experiment/23-inithx.i.2.txt,100,0.2,0.10,0.70,50,1,8,4087,70.3072,70.1256
experiment/23-inithx.i.2.txt,100,0.2,0.10,0.70,50,1,9,4093,70.1755,70.1256
experiment/24-inithx.i.1.txt,100,0.2,0.10,0.70,50,1,0,3964,130.138,130.052
experiment/24-inithx.i.1.txt,100,0.2,0.10,0.70,50,1,1,3958,130.418,130.052
experiment/24-inithx.i.1.txt,100,0.2,0.10,0.70,50,1,2,3961,130.479,130.052
experiment/24-inithx.i.1.txt,100,0.2,0.10,0.70,50,1,3,3954,130.537,130.052
experiment/24-inithx.i.1.txt,100,0.2,0.10,0.70,50,1,4,3964,130.535,130.052
experiment/24-inithx.i.1.txt,100,0.2,0.10,0.70,50,1,5,3968,130.103,130.052
experiment/24-inithx.i.1.txt,100,0.2,0.10,0.70,50,1,6,3960,130.111,130.052
experiment/24-inithx.i.1.txt,100,0.2,0.10,0.70,50,1,7,3971,130.56,130.052
experiment/24-inithx.i.1.txt,100,0.2,0.10,0.70,50,1,8,3964,130.065,130.052
experiment/24-inithx.i.1.txt,100,0.2,0.10,0.70,50,1,9,3953,130.285,130.052
experiment/25-qg.order30.txt,100,0.2,0.10,0.70,50,1,0,12122,165.053,164.975
experiment/25-qg.order30.txt,100,0.2,0.10,0.70,50,1,1,12112,165.454,164.975
experiment/25-qg.order30.txt,100,0.2,0.10,0.70,50,1,2,12118,165.627,164.975
experiment/25-qg.order30.txt,100,0.2,0.10,0.70,50,1,3,12125,165.228,164.975
experiment/25-qg.order30.txt,100,0.2,0.10,0.70,50,1,4,12119,165.714,164.975
experiment/25-qg.order30.txt,100,0.2,0.10,0.70,50,1,5,12114,165.363,164.975
experiment/25-qg.order30.txt,100,0.2,0.10,0.70,50,1,6,12114,165.552,164.975
experiment/25-qg.order30.txt,100,0.2,0.10,0.70,50,1,7,12118,165.639,164.975
experiment/25-qg.order30.txt,100,0.2,0.10,0.70,50,1,8,12110,165.548,164.975
experiment/25-qg.order30.txt,100,0.2,0.10,0.70,50,1,9,12118,165.226,164.975
experiment/26-wap05.txt,100,0.2,0.10,0.70,50,1,0,14182,306.2,305.704
experiment/26-wap05.txt,100,0.2,0.10,0.70,50,1,1,14223,305.736,305.704
experiment/26-wap05.txt,100,0.2,0.10,0.70,50,1,2,14229,307.158,305.704
experiment/26-wap05.txt,100,0.2,0.10,0.70,50,1,3,14265,306.355,305.704
experiment/26-wap05.txt,100,0.2,0.10,0.70,50,1,4,14221,306.782,305.704
experiment/26-wap05.txt,100,0.2,0.10,0.70,50,1,5,14230,307.018,305.704
experiment/26-wap05.txt,100,0.2,0.10,0.70,50,1,6,14219,305.841,305.704
experiment/26-wap05.txt,100,0.2,0.10,0.70,50,1,7,14276,308.823,305.704
experiment/26-wap05.txt,100,0.2,0.10,0.70,50,1,8,14225,307.303,305.704
experiment/26-wap05.txt,100,0.2,0.10,0.70,50,1,9,14358,306.608,305.704
experiment/27-wap06.txt,100,0.2,0.10,0.70,50,1,0,20142,342.807,341.349
experiment/27-wap06.txt,100,0.2,0.10,0.70,50,1,1,20064,341.632,341.349
experiment/27-wap06.txt,100,0.2,0.10,0.70,50,1,2,20099,341.473,341.349
experiment/27-wap06.txt,100,0.2,0.10,0.70,50,1,3,20023,341.874,341.349
experiment/27-wap06.txt,100,0.2,0.10,0.70,50,1,4,19978,342.325,341.349
experiment/27-wap06.txt,100,0.2,0.10,0.70,50,1,5,20020,341.495,341.349
experiment/27-wap06.txt,100,0.2,0.10,0.70,50,1,6,19981,342.651,341.349
experiment/27-wap06.txt,100,0.2,0.10,0.70,50,1,7,19958,342.204,341.349
experiment/27-wap06.txt,100,0.2,0.10,0.70,50,1,8,20039,341.757,341.349
experiment/27-wap06.txt,100,0.2,0.10,0.70,50,1,9,20022,342.463,341.349
experiment/28-qg.order40.txt,100,0.2,0.10,0.70,50,1,0,15523,961.052,954.066
experiment/28-qg.order40.txt,100,0.2,0.10,0.70,50,1,1,15516,955.121,954.066
experiment/28-qg.order40.txt,100,0.2,0.10,0.70,50,1,2,15532,956.123,954.066
experiment/28-qg.order40.txt,100,0.2,0.10,0.70,50,1,3,15517,956.909,954.066
experiment/28-qg.order40.txt,100,0.2,0.10,0.70,50,1,4,15528,956.031,954.066
experiment/28-qg.order40.txt,100,0.2,0.10,0.70,50,1,5,15503,957.054,954.066
experiment/28-qg.order40.txt,100,0.2,0.10,0.70,50,1,6,15529,958.141,954.066
experiment/28-qg.order40.txt,100,0.2,0.10,0.70,50,1,7,15525,958.956,954.066
experiment/28-qg.order40.txt,100,0.2,0.10,0.70,50,1,8,15512,954.431,954.066
experiment/28-qg.order40.txt,100,0.2,0.10,0.70,50,1,9,15528,955.597,954.066
experiment/29-wap07.txt,100,0.2,0.10,0.70,50,1,0,15315,1489.31,1485.79
experiment/29-wap07.txt,100,0.2,0.10,0.70,50,1,1,15414,1485.99,1485.79
experiment/29-wap07.txt,100,0.2,0.10,0.70,50,1,2,15346,1492.79,1485.79
experiment/29-wap07.txt,100,0.2,0.10,0.70,50,1,3,15395,1486.9,1485.79
experiment/29-wap07.txt,100,0.2,0.10,0.70,50,1,4,15368,1487.7,1485.79
experiment/29-wap07.txt,100,0.2,0.10,0.70,50,1,5,15441,1491.26,1485.79
experiment/29-wap07.txt,100,0.2,0.10,0.70,50,1,6,15375,1493.73,1485.79
experiment/29-wap07.txt,100,0.2,0.10,0.70,50,1,7,15369,1494.38,1485.79
experiment/29-wap07.txt,100,0.2,0.10,0.70,50,1,8,15419,1489.21,1485.79
experiment/29-wap07.txt,100,0.2,0.10,0.70,50,1,9,15325,1487.01,1485.79
experiment/30-wap08.txt,100,0.2,0.10,0.70,50,1,0,16084,1555.5,1552.44
experiment/30-wap08.txt,100,0.2,0.10,0.70,50,1,1,16098,1553.79,1552.44
experiment/30-wap08.txt,100,0.2,0.10,0.70,50,1,2,16005,1554.62,1552.44
experiment/30-wap08.txt,100,0.2,0.10,0.70,50,1,3,16039,1555.45,1552.44
experiment/30-wap08.txt,100,0.2,0.10,0.70,50,1,4,16039,1553.95,1552.44
experiment/30-wap08.txt,100,0.2,0.10,0.70,50,1,5,16092,1557,1552.44
experiment/30-wap08.txt,100,0.2,0.10,0.70,50,1,6,16064,1556.23,1552.44
experiment/30-wap08.txt,100,0.2,0.10,0.70,50,1,7,16038,1557.59,1552.44
experiment/30-wap08.txt,100,0.2,0.10,0.70,50,1,8,16064,1555.96,1552.44
experiment/30-wap08.txt,100,0.2,0.10,0.70,50,1,9,16079,1559.22,1552.44
experiment/31-C500.9.txt,100,0.2,0.10,0.70,50,1,0,75075,231.658,231.292
experiment/31-C500.9.txt,100,0.2,0.10,0.70,50,1,1,76791,231.905,231.292
experiment/31-C500.9.txt,100,0.2,0.10,0.70,50,1,2,76262,231.825,231.292
experiment/31-C500.9.txt,100,0.2,0.10,0.70,50,1,3,77955,231.756,231.292
experiment/31-C500.9.txt,100,0.2,0.10,0.70,50,1,4,76222,231.736,231.292
experiment/31-C500.9.txt,100,0.2,0.10,0.70,50,1,5,75351,231.715,231.292
experiment/31-C500.9.txt,100,0.2,0.10,0.70,50,1,6,75377,232.232,231.292
experiment/31-C500.9.txt,100,0.2,0.10,0.70,50,1,7,77447,231.527,231.292
experiment/31-C500.9.txt,100,0.2,0.10,0.70,50,1,8,76613,232.368,231.292
experiment/31-C500.9.txt,100,0.2,0.10,0.70,50,1,9,76553,232.143,231.292
experiment/32-2-Insertions_5.txt,100,0.2,0.10,0.70,50,1,0,3017,25.139,25.1253
experiment/32-2-Insertions_5.txt,100,0.2,0.10,0.70,50,1,1,3120,25.2119,25.1253
experiment/32-2-Insertions_5.txt,100,0.2,0.10,0.70,50,1,2,3031,25.1453,25.1253
experiment/32-2-Insertions_5.txt,100,0.2,0.10,0.70,50,1,3,3029,25.2257,25.1253
experiment/32-2-Insertions_5.txt,100,0.2,0.10,0.70,50,1,4,3009,25.2397,25.1253
experiment/32-2-Insertions_5.txt,100,0.2,0.10,0.70,50,1,5,3118,25.149,25.1253
experiment/32-2-Insertions_5.txt,100,0.2,0.10,0.70,50,1,6,3053,25.1971,25.1253
experiment/32-2-Insertions_5.txt,100,0.2,0.10,0.70,50,1,7,3017,25.1484,25.1253
experiment/32-2-Insertions_5.txt,100,0.2,0.10,0.70,50,1,8,3064,25.1593,25.1253
experiment/32-2-Insertions_5.txt,100,0.2,0.10,0.70,50,1,9,3015,25.2128,25.1253
experiment/33-1-Insertions_6.txt,100,0.2,0.10,0.70,50,1,0,1356,36.8759,36.7734
experiment/33-1-Insertions_6.txt,100,0.2,0.10,0.70,50,1,1,1354,36.7808,36.7734
experiment/33-1-Insertions_6.txt,100,0.2,0.10,0.70,50,1,2,1355,36.8477,36.7734
experiment/33-1-Insertions_6.txt,100,0.2,0.10,0.70,50,1,3,1360,36.8448,36.7734
experiment/33-1-Insertions_6.txt,100,0.2,0.10,0.70,50,1,4,1364,36.9437,36.7734
experiment/33-1-Insertions_6.txt,100,0.2,0.10,0.70,50,1,5,1355,36.9007,36.7734
experiment/33-1-Insertions_6.txt,100,0.2,0.10,0.70,50,1,6,1359,36.8411,36.7734
experiment/33-1-Insertions_6.txt,100,0.2,0.10,0.70,50,1,7,1360,36.8438,36.7734
experiment/33-1-Insertions_6.txt,100,0.2,0.10,0.70,50,1,8,1372,36.9376,36.7734
experiment/33-1-Insertions_6.txt,100,0.2,0.10,0.70,50,1,9,1352,36.8061,36.7734
experiment/34-ash331GPIA.txt,100,0.2,0.10,0.70,50,1,0,1607,29.8544,29.8114
experiment/34-ash331GPIA.txt,100,0.2,0.10,0.70,50,1,1,1590,29.8576,29.8114
experiment/34-ash331GPIA.txt,100,0.2,0.10,0.70,50,1,2,1585,29.9148,29.8114
experiment/34-ash331GPIA.txt,100,0.2,0.10,0.70,50,1,3,1595,29.8936,29.8114
experiment/34-ash331GPIA.txt,100,0.2,0.10,0.70,50,1,4,1585,29.8727,29.8114
experiment/34-ash331GPIA.txt,100,0.2,0.10,0.70,50,1,5,1593,29.9093,29.8114
experiment/34-ash331GPIA.txt,100,0.2,0.10,0.70,50,1,6,1585,29.8787,29.8114
experiment/34-ash331GPIA.txt,100,0.2,0.10,0.70,50,1,7,1594,29.8396,29.8114
experiment/34-ash331GPIA.txt,100,0.2,0.10,0.70,50,1,8,1602,29.9272,29.8114
experiment/34-ash331GPIA.txt,100,0.2,0.10,0.70,50,1,9,1599,29.9079,29.8114
experiment/35-4-FullIns_4.txt,100,0.2,0.10,0.70,50,1,0,2443,45.3534,45.186
experiment/35-4-FullIns_4.txt,100,0.2,0.10,0.70,50,1,1,2443,45.2881,45.186
experiment/35-4-FullIns_4.txt,100,0.2,0.10,0.70,50,1,2,2447,45.4014,45.186
experiment/35-4-FullIns_4.txt,100,0.2,0.10,0.70,50,1,3,2445,45.3276,45.186
experiment/35-4-FullIns_4.txt,100,0.2,0.10,0.70,50,1,4,2448,45.3176,45.186
experiment/35-4-FullIns_4.txt,100,0.2,0.10,0.70,50,1,5,2445,45.6103,45.186
experiment/35-4-FullIns_4.txt,100,0.2,0.10,0.70,50,1,6,2443,45.286,45.186
experiment/35-4-FullIns_4.txt,100,0.2,0.10,0.70,50,1,7,2446,45.2613,45.186
experiment/35-4-FullIns_4.txt,100,0.2,0.10,0.70,50,1,8,2443,45.3672,45.186
experiment/35-4-FullIns_4.txt,100,0.2,0.10,0.70,50,1,9,2443,45.2743,45.186
experiment/36-will199GPIA.txt,100,0.2,0.10,0.70,50,1,0,5173,47.2287,47.1609
experiment/36-will199GPIA.txt,100,0.2,0.10,0.70,50,1,1,5176,47.3383,47.1609
experiment/36-will199GPIA.txt,100,0.2,0.10,0.70,50,1,2,5097,47.1735,47.1609
experiment/36-will199GPIA.txt,100,0.2,0.10,0.70,50,1,3,5124,47.2012,47.1609
experiment/36-will199GPIA.txt,100,0.2,0.10,0.70,50,1,4,5130,47.2411,47.1609
experiment/36-will199GPIA.txt,100,0.2,0.10,0.70,50,1,5,5099,47.1757,47.1609
experiment/36-will199GPIA.txt,100,0.2,0.10,0.70,50,1,6,5220,47.2567,47.1609
