filename,population_size,elite_size,mutatants_size,crossover_probability,restart_generations,restart_strategy,seed,objective_value,time_elapsed,stop_time,best_value
training/01-myciel3.txt,100,0.20,0.10,0.70,50,1,0,3097,0.056088,0.056,3097
training/01-myciel3.txt,100,0.20,0.10,0.70,50,1,1,3097,0.056038,0.056,3097
training/01-myciel3.txt,100,0.20,0.10,0.70,50,1,2,3097,0.056047,0.056,3097
training/01-myciel3.txt,100,0.20,0.10,0.70,50,1,3,3097,0.056053,0.056,3097
training/01-myciel3.txt,100,0.20,0.10,0.70,50,1,4,3097,0.056092,0.056,3097
training/01-myciel3.txt,100,0.20,0.10,0.70,100,1,0,3097,0.056091,0.056,3097
training/01-myciel3.txt,100,0.20,0.10,0.70,100,1,1,3097,0.056077,0.056,3097
training/01-myciel3.txt,100,0.20,0.10,0.70,100,1,2,3097,0.056097,0.056,3097
training/01-myciel3.txt,100,0.20,0.10,0.70,100,1,3,3097,0.056047,0.056,3097
training/01-myciel3.txt,100,0.20,0.10,0.70,100,1,4,3097,0.05604,0.056,3097
training/01-myciel3.txt,100,0.20,0.10,0.70,50,2,0,3097,0.056115,0.056,3097
training/01-myciel3.txt,100,0.20,0.10,0.70,50,2,1,3097,0.056234,0.056,3097
training/01-myciel3.txt,100,0.20,0.10,0.70,50,2,2,3097,0.056111,0.056,3097
training/01-myciel3.txt,100,0.20,0.10,0.70,50,2,3,3097,0.056215,0.056,3097
training/01-myciel3.txt,100,0.20,0.10,0.70,50,2,4,3097,0.056084,0.056,3097
training/01-myciel3.txt,100,0.20,0.10,0.70,100,2,0,3097,0.056029,0.056,3097
training/01-myciel3.txt,100,0.20,0.10,0.70,100,2,1,3097,0.056052,0.056,3097
training/01-myciel3.txt,100,0.20,0.10,0.70,100,2,2,3097,0.056087,0.056,3097
training/01-myciel3.txt,100,0.20,0.10,0.70,100,2,3,3097,0.056095,0.056,3097
training/01-myciel3.txt,100,0.20,0.10,0.70,100,2,4,3097,0.056002,0.056,3097
training/01-myciel3.txt,100,0.20,0.10,0.80,50,1,0,3097,0.056004,0.056,3097
training/01-myciel3.txt,100,0.20,0.10,0.80,50,1,1,3097,0.056087,0.056,3097
training/01-myciel3.txt,100,0.20,0.10,0.80,50,1,2,3097,0.056088,0.056,3097
training/01-myciel3.txt,100,0.20,0.10,0.80,50,1,3,3097,0.056064,0.056,3097
training/01-myciel3.txt,100,0.20,0.10,0.80,50,1,4,3097,0.056022,0.056,3097
training/01-myciel3.txt,100,0.20,0.10,0.80,100,1,0,3097,0.056043,0.056,3097
training/01-myciel3.txt,100,0.20,0.10,0.80,100,1,1,3097,0.056017,0.056,3097
training/01-myciel3.txt,100,0.20,0.10,0.80,100,1,2,3097,0.056089,0.056,3097
training/01-myciel3.txt,100,0.20,0.10,0.80,100,1,3,3097,0.056045,0.056,3097
training/01-myciel3.txt,100,0.20,0.10,0.80,100,1,4,3097,0.056032,0.056,3097
training/01-myciel3.txt,100,0.20,0.10,0.80,50,2,0,3097,0.056073,0.056,3097
training/01-myciel3.txt,100,0.20,0.10,0.80,50,2,1,3097,0.056063,0.056,3097
training/01-myciel3.txt,100,0.20,0.10,0.80,50,2,2,3097,0.056229,0.056,3097
training/01-myciel3.txt,100,0.20,0.10,0.80,50,2,3,3097,0.056018,0.056,3097
training/01-myciel3.txt,100,0.20,0.10,0.80,50,2,4,3097,0.056074,0.056,3097
training/01-myciel3.txt,100,0.20,0.10,0.80,100,2,0,3097,0.056021,0.056,3097
training/01-myciel3.txt,100,0.20,0.10,0.80,100,2,1,3097,0.056062,0.056,3097
training/01-myciel3.txt,100,0.20,0.10,0.80,100,2,2,3097,0.056041,0.056,3097
training/01-myciel3.txt,100,0.20,0.10,0.80,100,2,3,3097,0.056053,0.056,3097
training/01-myciel3.txt,100,0.20,0.10,0.80,100,2,4,3097,0.056089,0.056,3097
training/01-myciel3.txt,100,0.20,0.20,0.70,50,1,0,3097,0.05608,0.056,3097
training/01-myciel3.txt,100,0.20,0.20,0.70,50,1,1,3097,0.056041,0.056,3097
training/01-myciel3.txt,100,0.20,0.20,0.70,50,1,2,3097,0.056033,0.056,3097
training/01-myciel3.txt,100,0.20,0.20,0.70,50,1,3,3097,0.056099,0.056,3097
training/01-myciel3.txt,100,0.20,0.20,0.70,50,1,4,3097,0.056033,0.056,3097
training/01-myciel3.txt,100,0.20,0.20,0.70,100,1,0,3097,0.056056,0.056,3097
training/01-myciel3.txt,100,0.20,0.20,0.70,100,1,1,3097,0.056065,0.056,3097
training/01-myciel3.txt,100,0.20,0.20,0.70,100,1,2,3097,0.056031,0.056,3097
training/01-myciel3.txt,100,0.20,0.20,0.70,100,1,3,3097,0.056123,0.056,3097
training/01-myciel3.txt,100,0.20,0.20,0.70,100,1,4,3097,0.05601,0.056,3097
training/01-myciel3.txt,100,0.20,0.20,0.70,50,2,0,3097,0.056106,0.056,3097
training/01-myciel3.txt,100,0.20,0.20,0.70,50,2,1,3097,0.056078,0.056,3097
training/01-myciel3.txt,100,0.20,0.20,0.70,50,2,2,3097,0.056073,0.056,3097
training/01-myciel3.txt,100,0.20,0.20,0.70,50,2,3,3097,0.056121,0.056,3097
training/01-myciel3.txt,100,0.20,0.20,0.70,50,2,4,3097,0.056017,0.056,3097
training/01-myciel3.txt,100,0.20,0.20,0.70,100,2,0,3097,0.056118,0.056,3097
training/01-myciel3.txt,100,0.20,0.20,0.70,100,2,1,3097,0.056045,0.056,3097
training/01-myciel3.txt,100,0.20,0.20,0.70,100,2,2,3097,0.056024,0.056,3097
training/01-myciel3.txt,100,0.20,0.20,0.70,100,2,3,3097,0.056061,0.056,3097
training/01-myciel3.txt,100,0.20,0.20,0.70,100,2,4,3097,0.056081,0.056,3097
training/01-myciel3.txt,100,0.20,0.20,0.80,50,1,0,3097,0.05601,0.056,3097
training/01-myciel3.txt,100,0.20,0.20,0.80,50,1,1,3097,0.056099,0.056,3097
training/01-myciel3.txt,100,0.20,0.20,0.80,50,1,2,3097,0.056081,0.056,3097
training/01-myciel3.txt,100,0.20,0.20,0.80,50,1,3,3097,0.05609,0.056,3097
training/01-myciel3.txt,100,0.20,0.20,0.80,50,1,4,3097,0.056077,0.056,3097
training/01-myciel3.txt,100,0.20,0.20,0.80,100,1,0,3097,0.05601,0.056,3097
training/01-myciel3.txt,100,0.20,0.20,0.80,100,1,1,3097,0.056035,0.056,3097
training/01-myciel3.txt,100,0.20,0.20,0.80,100,1,2,3097,0.056009,0.056,3097
training/01-myciel3.txt,100,0.20,0.20,0.80,100,1,3,3097,0.056007,0.056,3097
training/01-myciel3.txt,100,0.20,0.20,0.80,100,1,4,3097,0.056026,0.056,3097
training/01-myciel3.txt,100,0.20,0.20,0.80,50,2,0,3097,0.056039,0.056,3097
training/01-myciel3.txt,100,0.20,0.20,0.80,50,2,1,3097,0.056076,0.056,3097
training/01-myciel3.txt,100,0.20,0.20,0.80,50,2,2,3097,0.05602,0.056,3097
training/01-myciel3.txt,100,0.20,0.20,0.80,50,2,3,3097,0.056038,0.056,3097
training/01-myciel3.txt,100,0.20,0.20,0.80,50,2,4,3097,0.056054,0.056,3097
training/01-myciel3.txt,100,0.20,0.20,0.80,100,2,0,3097,0.056022,0.056,3097
training/01-myciel3.txt,100,0.20,0.20,0.80,100,2,1,3097,0.056045,0.056,3097
training/01-myciel3.txt,100,0.20,0.20,0.80,100,2,2,3097,0.056022,0.056,3097
training/01-myciel3.txt,100,0.20,0.20,0.80,100,2,3,3097,0.056041,0.056,3097
training/01-myciel3.txt,100,0.20,0.20,0.80,100,2,4,3097,0.056096,0.056,3097
training/01-myciel3.txt,100,0.25,0.10,0.70,50,1,0,3097,0.056019,0.056,3097
training/01-myciel3.txt,100,0.25,0.10,0.70,50,1,1,3097,0.056087,0.056,3097
training/01-myciel3.txt,100,0.25,0.10,0.70,50,1,2,3097,0.056094,0.056,3097
training/01-myciel3.txt,100,0.25,0.10,0.70,50,1,3,3097,0.056052,0.056,3097
training/01-myciel3.txt,100,0.25,0.10,0.70,50,1,4,3097,0.056048,0.056,3097
training/01-myciel3.txt,100,0.25,0.10,0.70,100,1,0,3097,0.056008,0.056,3097
training/01-myciel3.txt,100,0.25,0.10,0.70,100,1,1,3097,0.056005,0.056,3097
training/01-myciel3.txt,100,0.25,0.10,0.70,100,1,2,3097,0.056014,0.056,3097
training/01-myciel3.txt,100,0.25,0.10,0.70,100,1,3,3097,0.056072,0.056,3097
training/01-myciel3.txt,100,0.25,0.10,0.70,100,1,4,3097,0.056094,0.056,3097
training/01-myciel3.txt,100,0.25,0.10,0.70,50,2,0,3097,0.056015,0.056,3097
training/01-myciel3.txt,100,0.25,0.10,0.70,50,2,1,3097,0.056088,0.056,3097
training/01-myciel3.txt,100,0.25,0.10,0.70,50,2,2,3097,0.05604,0.056,3097
training/01-myciel3.txt,100,0.25,0.10,0.70,50,2,3,3097,0.056028,0.056,3097
